地区,primary_2020,middle_2020,high_2020,primary_2024,middle_2024,high_2024,primary_2025,middle_2025,high_2025,primary_2026,middle_2026,high_2026,primary_2027,middle_2027,high_2027,primary_chg_2024,primary_chg_2025,primary_chg_2026,primary_chg_2027,middle_chg_2024,middle_chg_2025,middle_chg_2026,middle_chg_2027,high_chg_2024,high_chg_2025,high_chg_2026,high_chg_2027
丰宁满族自治县,25278.6,12821.6,10666.8,21705.8,13059.2,13899.0,21179.1,12219.4,13899.0,20652.4,11379.6,13899.0,19587.2,11379.6,13059.2,-14.13,-16.22,-18.3,-22.51,1.85,-4.7,-11.25,-11.25,30.3,30.3,30.3,22.43
宽城满族自治县,22872.6,9803.2,6316.8,20853.6,11473.0,11546.4,19954.2,11399.6,11546.4,19054.8,11326.2,11546.4,17432.4,11326.2,11473.0,-8.83,-12.76,-16.69,-23.78,17.03,16.28,15.54,15.54,82.79,82.79,82.79,81.63
围场满族蒙古族自治县,35568.0,17877.4,15535.8,30530.4,18205.4,19048.2,29275.8,17362.6,19048.2,28021.2,16519.8,19048.2,25598.6,16519.8,18205.4,-14.16,-17.69,-21.22,-28.03,1.83,-2.88,-7.59,-7.59,22.61,22.61,22.61,17.18
承德高新技术产业开发区,7668.6,6992.8,14260.8,8684.9,3675.8,3358.8,8717.55,3992.8,3358.8,8750.2,4309.8,3358.8,8481.6,4309.8,3675.8,13.25,13.68,14.1,10.6,-47.43,-42.9,-38.37,-38.37,-76.45,-76.45,-76.45,-74.22
平泉市,28896.6,15270.6,13702.2,24598.4,14983.8,16054.8,24055.8,13912.8,16054.8,23513.2,12841.8,16054.8,22189.6,12841.8,14983.8,-14.87,-16.75,-18.63,-23.21,-1.88,-8.89,-15.91,-15.91,17.17,17.17,17.17,9.35
新华区,19794.0,8113.8,6462.6,21579.3,9577.8,8939.4,21514.35,10216.2,8939.4,21449.4,10854.6,8939.4,20292.2,10854.6,9577.8,9.02,8.69,8.36,2.52,18.04,25.91,33.78,33.78,38.33,38.33,38.33,48.2
运河区,38167.8,19398.6,23791.8,41967.9,18456.6,17202.0,41986.05,19711.2,17202.0,42004.2,20965.8,17202.0,39788.6,20965.8,18456.6,9.96,10.0,10.05,4.25,-4.86,1.61,8.08,8.08,-27.7,-27.7,-27.7,-22.42
沧县,65533.2,26913.4,15502.2,58180.1,32717.4,32619.0,54355.95,32815.8,32619.0,50531.8,32914.2,32619.0,44348.4,32914.2,32717.4,-11.22,-17.06,-22.89,-32.33,21.57,21.93,22.3,22.3,110.42,110.42,110.42,111.05
青县,37893.6,15210.4,10038.0,38453.0,18563.4,17796.6,37582.5,19330.2,17796.6,36712.0,20097.0,17796.6,33802.0,20097.0,18563.4,1.48,-0.82,-3.12,-10.8,22.04,27.09,32.13,32.13,77.29,77.29,77.29,84.93
东光县,31162.2,11802.8,7149.6,32878.9,15097.2,14129.4,32285.55,16065.0,14129.4,31692.2,17032.8,14129.4,29015.6,17032.8,15097.2,5.51,3.6,1.7,-6.89,27.91,36.11,44.31,44.31,97.63,97.63,97.63,111.16
